Average Daily Rate,Hotel Occupancy,Date,Monthly Rate,Corrected Monthly Rate
157.8543,0.740657015,2005-04,4735.629,3507.477
169.9458,0.77044215,2006-04,5098.374,3928.002
183.4274,0.7644851229999999,2007-04,5502.822,4206.826
183.7442,0.7684564740000001,2008-04,5512.326,4235.983
157.9462,0.7436355290000001,2009-04,4738.386,3523.632
151.1186,0.7893060679999999,2010-04,4533.558,3578.365
166.3684,0.8002272840000001,2011-04,4991.052000000001,3993.976
187.7816,0.796255933,2012-04,5633.448,4485.666
225.7937,0.889582688,2013-04,6773.811,6025.865
237.8444,0.880647148,2014-04,7135.332,6283.71
263.2233,0.876675797,2015-04,7896.699,6922.845
258.8167,0.8628752470000001,2016-04,7764.501000000001,6699.796
249.0425,0.84853382,2017-04,7471.275,6339.63
294.7086,0.866152473,2018-04,8841.258,7657.877
150.7068,0.743565795,2005-06,4521.204,3361.813
167.8425,0.7371636290000001,2006-06,5035.275,3711.822
175.06900000000005,0.7536263409999999,2007-06,5252.0700000000015,3958.098
195.0557,0.782893383,2008-06,5851.671,4581.235
148.4696,0.7362490340000001,2009-06,4454.088000000001,3279.318
150.7365,0.775576622,2010-06,4522.095,3507.231
178.4843,0.798441499,2011-06,5354.5289999999995,4275.278
211.439,0.835939897,2012-06,6343.17,5302.509
227.4759,0.8368544920000001,2013-06,6824.277,5710.927
255.6493,0.8423420629999999,2014-06,7669.479,6460.325
268.8945,0.846000443,2015-06,8066.835,6824.546
281.9561,0.8019769170000001,2016-06,8458.682999999999,6783.669
257.44,0.81,2017-06,7723.2,6255.792
137.4212,0.7507566990000001,2004-09,4122.636,3095.097
155.2344,0.809639577,2005-09,4657.032,3770.517
168.0008,0.7958389020000001,2006-09,5040.024,4011.047
187.7206,0.799519082,2007-09,5631.6179999999995,4502.586
192.5804,0.796758947,2008-09,5777.412,4603.205
161.44,0.802279217,2009-09,4843.2,3885.599
176.5336,0.807799487,2010-09,5296.008,4278.113
195.4215,0.8354008359999999,2011-09,5862.645,4897.659
220.7768,0.8271204320000001,2012-09,6623.304,5478.27
249.8517,0.8344807909999999,2013-09,7495.5509999999995,6254.893
274.3285,0.8418411509999999,2014-09,8229.855000000001,6928.231
284.8799,0.8464413759999999,2015-09,8546.397,7234.024
275.1246,0.8513757590000001,2016-09,8253.738,7027.032
264.4408,0.834566178,2017-09,7933.224000000001,6620.8
148.4632,0.6823472279999999,2004-11,4453.896,3039.104
157.2,0.766694428,2005-11,4716.0,3615.731
171.41400000000004,0.7764267979999999,2006-11,5142.420000000001,3992.713
198.6868,0.8218445209999999,2007-11,5960.604,4898.69
184.2355,0.7407414440000001,2008-11,5527.0650000000005,4094.126
159.9025,0.7580434340000001,2009-11,4797.075,3636.391
162.3472,0.7721013000000001,2010-11,4870.415999999999,3760.455
200.399,0.8434720090000001,2011-11,6011.97,5070.928
197.1601,0.8445533829999999,2012-11,5914.803,4995.367
242.6388,0.895377979,2013-11,7279.164,6517.603
237.8217,0.888889732,2014-11,7134.651,6341.918
265.4271,0.872530743,2015-11,7962.813,6947.799
247.01,0.882,2016-11,7410.299999999999,6535.885
291.0664,0.860719954,2017-11,8731.992,7515.8
148.8121,0.7290999709999999,2005-01,4613.1750999999995,3363.466
160.7223,0.755878267,2006-01,4982.391299999999,3766.081
179.4341,0.727882775,2007-01,5562.4571,4048.817
184.5935,0.785090953,2008-01,5722.3985,4492.603
169.4801,0.742489119,2009-01,5253.8831,3900.951
156.1812,0.7607470479999999,2010-01,4841.6172,3683.246
179.0489,0.852036694,2011-01,5550.5159,4729.243
200.2238,0.8325615690000001,2012-01,6206.937800000001,5167.658
211.5866,0.859339865,2013-01,6559.1846000000005,5636.569
240.0394,0.911679262,2014-01,7441.2214,6784.007
284.3455,0.977407807,2015-01,8814.710500000001,8615.567
299.3552,0.983974755,2016-01,9280.0112,9131.297
330.652,0.933855153,2017-01,10250.212,9572.213
351.3362,0.928713519,2018-01,10891.4222,10115.011
153.0208,0.7449085390000001,2005-03,4743.6448,3533.582
172.3194,0.771585704,2006-03,5341.9014,4121.735
188.4775,0.7736377940000001,2007-03,5842.8025,4520.213
186.4007,0.784924287,2008-03,5778.4217,4535.624
162.4422,0.700788612,2009-03,5035.7082,3528.967
153.4666,0.792106601,2010-03,4757.4646,3768.419
176.1588,0.8013410040000001,2011-03,5460.9228,4376.061
190.1085,0.8044191390000001,2012-03,5893.3634999999995,4740.734
207.3505,0.8300702590000001,2013-03,6427.8655,5335.58
229.5869,0.844434887,2014-03,7117.1939,6010.007
262.2172,0.874190186,2015-03,8128.7332,7106.059
278.3484,0.8979872790000001,2016-03,8628.8004,7748.553
263.6609,0.8701652759999999,2017-03,8173.487900000001,7112.285
263.8261,0.8770123,2018-03,8178.6091,7172.741
154.0527,0.7565445209999999,2005-05,4775.633699999999,3612.98
166.1086,0.73818648,2006-05,5149.3666,3801.193
185.5201,0.8000240909999999,2007-05,5751.123100000001,4601.037
180.0821,0.771037711,2008-05,5582.5451,4304.353
150.1389,0.721760865,2009-05,4654.3059,3359.296
159.4021,0.79229439,2010-05,4941.465099999999,3915.095
191.4694,0.8174159190000001,2011-05,5935.5514,4851.814
196.0518,0.819348345,2012-05,6077.605799999999,4979.676
212.3165,0.85026715,2013-05,6581.8115,5596.298
242.7711,0.843503662,2014-05,7525.9041,6348.128
253.9814,0.862827915,2015-05,7873.423400000001,6793.409
274.5392,0.8705017159999999,2016-05,8510.7152,7408.592
252.202,0.837763826,2017-05,7818.262,6549.857
276.0035,0.837028199,2018-05,8556.108499999998,7161.704
141.6038,0.738483639,2004-07,4389.7178,3241.735
152.0268,0.7685329120000001,2005-07,4712.830800000001,3621.966
165.043,0.746678895,2006-07,5116.3330000000005,3820.258
185.5056,0.773085832,2007-07,5750.673599999999,4445.764
189.8645,0.808598609,2008-07,5885.7995,4759.249
153.8127,0.7831022559999999,2009-07,4768.1937,3733.983
161.0473,0.804045688,2010-07,4992.4663,4014.171
192.3668,0.8186150329999999,2011-07,5963.370800000001,4881.705
212.5469,0.8113303609999999,2012-07,6588.9538999999995,5345.818
230.6485,0.829542041,2013-07,7150.1035,5931.311
257.9017,0.8322737929999999,2014-07,7994.9527,6653.99
274.7925,0.8286314570000001,2015-07,8518.567500000001,7058.753
266.3722,0.8322922979999999,2016-07,8257.5382,6872.685
273.75,0.841,2017-07,8486.25,7136.936
143.1187,0.7195705240000001,2004-08,4436.6797,3192.504
151.0215,0.769896315,2005-08,4681.6665,3604.398
163.9165,0.730165428,2006-08,5081.4115,3710.271
187.9078,0.769013407,2007-08,5825.1418,4479.612
183.6128,0.810510112,2008-08,5691.9968,4613.421
152.6586,0.783139945,2009-08,4732.4166000000005,3706.144
168.3631,0.8158075640000001,2010-08,5219.2561000000005,4257.909
189.9491,0.812275929,2011-08,5888.4221,4783.024
218.4274,0.816690472,2012-08,6771.249400000001,5530.015
248.4821,0.825519558,2013-08,7702.9451,6358.932
276.0508,0.840529005,2014-08,8557.574799999999,7192.89
282.8318,0.819339198,2015-08,8767.7858,7183.791
273.6485,0.8120538070000001,2016-08,8483.103500000001,6888.736
273.5412,0.824766586,2017-08,8479.7772,6993.837
141.5987,0.778465724,2004-10,4389.5597,3417.122
150.7996,0.774780679,2005-10,4674.7876,3621.935
176.6446,0.789520859,2006-10,5475.9826,4323.402
187.4537,0.795969687,2007-10,5811.0647,4625.431
182.8225,0.7591192390000001,2008-10,5667.4974999999995,4302.306
174.8168,0.8061035609999999,2009-10,5419.3208,4368.534
172.7428,0.81347365,2010-10,5355.0268,4356.173
205.9785,0.805182299,2011-10,6385.3335,5141.358
223.9233,0.8291350909999999,2012-10,6941.6223,5755.543
239.469,0.848481576,2013-10,7423.539,6298.736
263.3895,0.8401902259999999,2014-10,8165.0745,6860.216
276.6027,0.8411382340000001,2015-10,8574.683700000001,7212.494
275.0595,0.8352770959999999,2016-10,8526.844500000001,7122.278
269.2506,0.8186629540000001,2017-10,8346.768600000001,6833.19
153.0792,0.7610189009999999,2004-12,4745.455199999999,3611.381
163.7998,0.741722067,2005-12,5077.7938,3766.312
172.9293,0.752576536,2006-12,5360.808300000001,4034.419
176.0552,0.77187337,2007-12,5457.711200000001,4212.662
188.6491,0.80564283,2008-12,5848.1221000000005,4711.498
152.5263,0.756194692,2009-12,4728.3153,3575.527
173.6177,0.8273517690000001,2010-12,5382.148700000001,4452.93
182.2957,0.8104670390000001,2011-12,5651.166700000001,4580.084
199.2456,0.87318175,2012-12,6176.6136,5393.306
215.0218,0.915393575,2013-12,6665.6758,6101.717
267.6432,0.968459869,2014-12,8296.939199999999,8035.253
225.7735,0.962277003,2015-12,6998.9785,6734.956
254.8401,0.953881166,2016-12,7900.0431,7535.702
240.173,0.884431869,2017-12,7445.363,6584.916
197.1489,0.811044029,2008-02,5717.3180999999995,4636.997
213.3869,0.822018915,2012-02,6188.2201,5086.834
315.37,0.9354578,2016-02,9145.73,8555.444
151.1379,0.740804763,2005-02,4231.8612,3134.983
161.3353,0.7232449459999999,2006-02,4517.3884,3267.178
186.9618,0.7912892359999999,2007-02,5234.9304,4142.344
157.9055,0.6486157260000001,2009-02,4421.353999999999,2867.76
150.5339,0.762754534,2010-02,4214.9492,3214.972
181.8734,0.8373837540000001,2011-02,5092.4552,4264.339
201.8483,0.854943571,2013-02,5651.752399999999,4831.929
234.2935,0.898843112,2014-02,6560.218,5896.607
236.7917,0.8834782729999999,2015-02,6630.1676,5857.609
292.0611,0.914509638,2017-02,8177.710800000001,7478.595
246.3703,0.8442341999999998,2018-02,6898.368399999999,5823.839
